สาขา,เลขที่เอกสาร,รหัสสินค้า,รายการขาย,ยอดรวม,ส่วนลดรายการ,ยอดสุทธิ,ส่วนลดโปรโมชั่น,ส่วนลดบัตรกำนัล,ส่วนลดท้ายบิล,ยอดบิลสุทธิ
001 / สนามบินดอนเมือง,ABB-001-2602/00152,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00153,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00154,1. BEV001,Singha Beer (Can) 320 ml.(หน่วย),90,0,90,0,0,0,100
,,2. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00155,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00156,1. DON006,Saba Teriyaki Don(หน่วย),155,0,155,0,0,0,165
,,2. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00157,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00158,1. MINI013,Salmon Tuna Ebiko Sandwich Sushi Bento(หน่วย),640,0,640,0,0,0,1720
,,2. MINI014,Sushi Moriawase Set(หน่วย),220,0,220,,,,
,,3. MED007,Sushi Bento Mori Set(หน่วย),620,0,620,,,,
,,4. DON013,Torikatsu Curry Don(หน่วย),240,0,240,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00159,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00160,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),20,0,20,0,0,0,20
001 / สนามบินดอนเมือง,ABB-001-2602/00161,1. MINI001,Salmon Sushi 7 pcs.(หน่วย),210,0,210,0,0,0,1180
,,2. DON003,Poke Bowl(หน่วย),275,0,275,,,,
,,3. MED003,Salmon Varity Set  M(หน่วย),385,0,385,,,,
,,4. MED007,Sushi Bento Mori Set(หน่วย),310,0,310,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00162,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
001 / สนามบินดอนเมือง,ABB-001-2602/00163,1. DES002,Yuzu Daifuku(หน่วย),39,0,39,0,0,0,299
,,2. MINI001,Salmon Sushi 7 pcs.(หน่วย),210,0,210,,,,
,,3. DES004,Dorayaki(หน่วย),50,0,50,,,,
001 / สนามบินดอนเมือง,ABB-001-2602/00164,1. BEV005,Namthip Drinking Water (Bottle) 550 ml.(หน่วย),10,0,10,0,0,0,10
